Area,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Solidity,Extent,Perimeter,MaxRadius,MeanRadius,MedianRadius,IntegratedInt,medianSTDInt,meanInt,dx,dy,Magnitude,Angle,FractalDimMean,FractalDimSTD,FractalDimLacunarity,Class
7,3.236694375,3.028212018,0.353093932,0,1,0.777777778,6.368,1.414213538,1.059173346,1,172,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,2.780887149,2.780887149,0,0,1,0.555555556,5.624,1.414213538,1.082842708,1,173,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,3.306559138,2.12916259,0.765092056,-18.43494882,1,0.833333333,4.962,1,1,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,3.306559138,2.12916259,0.765092056,71.56505118,1,0.833333333,4.962,1,1,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,3.306559138,2.12916259,0.765092056,71.56505118,1,0.833333333,4.962,1,1,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.333333333,2.581988897,0.632455532,45,1,0.666666667,5.905,1.414213538,1.069035649,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.464101615,2.309401077,0.745355992,90,1,1,5.516,1,1,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.333333333,2.581988897,0.632455532,-45,1,0.666666667,5.905,1.414213538,1.069035649,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,4.9852329,1.774106236,0.934534598,-39.69017236,1,0.5,7.22,1,1,1,176,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.333333333,2.581988897,0.632455532,-45,1,0.666666667,5.905,1.414213538,1.069035649,1,180,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.333333333,2.581988897,0.632455532,45,1,0.666666667,5.905,1.414213538,1.069035649,1,184,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.265986324,2.905932629,0.456435465,-63.43494882,1,0.666666667,6.277,1,1,1,184,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,3.306559138,2.12916259,0.765092056,71.56505118,1,0.833333333,4.962,1,1,1,185,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,4,2.211083194,0.833333333,90,1,0.75,6.368,1,1,1,188,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
6,3.464101615,2.309401077,0.745355992,90,1,1,5.516,1,1,1,188,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,45,1,0.777777778,6.186,1.414213538,1.059173346,1,188,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.879126068,2.429971585,0.779483763,45,1,0.777777778,6.186,1.414213538,1.059173346,1,188,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
5,3.306559138,2.12916259,0.765092056,-71.56505118,1,0.833333333,4.962,1,1,1,189,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
7,3.236694375,3.028212018,0.353093932,90,1,0.777777778,6.368,1.414213538,1.059173346,1,216,70.24489796,31.81980515,-0.409803922,0.095098039,0.420693346,193.0646727,2.078039488,2.078039488,0.012335649,1
